Zona;Cultivo;AÒo;Mes;Precio
CANARIAS;Bata/Boniato;2018;Julio;1.35
CANARIAS;Bata/Boniato;2018;Agosto;1.07
CANARIAS;Bata/Boniato;2018;Septiembre;1
CANARIAS;Bata/Boniato;2018;Octubre;1.02
CANARIAS;Bata/Boniato;2018;Noviembre;0.94
CANARIAS;Bata/Boniato;2018;Diciembre;1.02
CANARIAS;Bata/Boniato;2019;Enero;0.8
CANARIAS;Bata/Boniato;2019;Febrero;0.94
CANARIAS;Bata/Boniato;2019;Marzo;0.86
CANARIAS;Bata/Boniato;2019;Abril;1.08
CANARIAS;Bata/Boniato;2019;Mayo;0.95
CANARIAS;Bata/Boniato;2019;Junio;0.98
CANARIAS;Bata/Boniato;2019;Julio;1.22
CANARIAS;Bata/Boniato;2019;Agosto;0.92
CANARIAS;Bata/Boniato;2019;Septiembre;1
CANARIAS;Bata/Boniato;2019;Octubre;0.84
CANARIAS;Bata/Boniato;2019;Noviembre;0.8
CANARIAS;Berenjena;2016;Enero;0.68
CANARIAS;Berenjena;2016;Febrero;0.59
CANARIAS;Berenjena;2016;Marzo;0.55
CANARIAS;Berenjena;2016;Abril;0.58
CANARIAS;Berenjena;2016;Mayo;0.46
CANARIAS;Berenjena;2016;Junio;0.45
CANARIAS;Berenjena;2016;Julio;0.34
CANARIAS;Berenjena;2016;Agosto;0.45
CANARIAS;Berenjena;2016;Septiembre;0.48
CANARIAS;Berenjena;2016;Octubre;0.31
CANARIAS;Berenjena;2016;Noviembre;0.44
CANARIAS;Berenjena;2016;Diciembre;0.49
CANARIAS;Berenjena;2017;Enero;0.61
CANARIAS;Berenjena;2017;Febrero;0.97
CANARIAS;Berenjena;2017;Marzo;0.52
CANARIAS;Berenjena;2017;Abril;0.38
CANARIAS;Berenjena;2017;Mayo;0.36
CANARIAS;Berenjena;2017;Junio;0.31
CANARIAS;Berenjena;2017;Julio;0.39
CANARIAS;Berenjena;2017;Agosto;0.55
CANARIAS;Berenjena;2017;Septiembre;0.73
CANARIAS;Berenjena;2017;Octubre;0.81
CANARIAS;Berenjena;2017;Noviembre;0.72
CANARIAS;Berenjena;2017;Diciembre;0.85
CANARIAS;Berenjena;2018;Enero;0.76
CANARIAS;Berenjena;2018;Febrero;0.73
CANARIAS;Berenjena;2018;Marzo;0.6
CANARIAS;Berenjena;2018;Abril;0.42
CANARIAS;Berenjena;2018;Mayo;0.41
CANARIAS;Berenjena;2018;Junio;0.43
CANARIAS;Berenjena;2018;Julio;0.43
CANARIAS;Berenjena;2018;Agosto;0.43
CANARIAS;Berenjena;2018;Septiembre;0.47
CANARIAS;Berenjena;2018;Octubre;0.5
CANARIAS;Berenjena;2018;Noviembre;0.67
CANARIAS;Berenjena;2018;Diciembre;0.61
CANARIAS;Berenjena;2019;Enero;0.79
CANARIAS;Berenjena;2019;Febrero;0.94
CANARIAS;Berenjena;2019;Marzo;0.55
CANARIAS;Berenjena;2019;Abril;0.69
CANARIAS;Berenjena;2019;Mayo;0.53
CANARIAS;Berenjena;2019;Junio;0.44
CANARIAS;Berenjena;2019;Julio;0.6
CANARIAS;Berenjena;2019;Agosto;0.47
CANARIAS;Berenjena;2019;Septiembre;0.68
CANARIAS;Berenjena;2019;Octubre;0.57
CANARIAS;Berenjena;2019;Noviembre;0.45
CANARIAS;Berro;2016;Enero;1.89
CANARIAS;Berro;2016;Febrero;1.54
CANARIAS;Berro;2016;Marzo;1.61
CANARIAS;Berro;2016;Abril;1.32
CANARIAS;Berro;2016;Mayo;1.14
CANARIAS;Berro;2016;Junio;1.18
CANARIAS;Berro;2016;Julio;1.15
CANARIAS;Berro;2016;Agosto;1.06
CANARIAS;Berro;2016;Septiembre;1.05
CANARIAS;Berro;2016;Octubre;1.3
CANARIAS;Berro;2016;Noviembre;1.36
CANARIAS;Berro;2016;Diciembre;1.3
CANARIAS;Berro;2017;Enero;2.24
CANARIAS;Berro;2017;Febrero;2.1
CANARIAS;Berro;2017;Marzo;1.65
CANARIAS;Berro;2017;Abril;...
CANARIAS;Berro;2017;Mayo;...
CANARIAS;Berro;2017;Junio;1.99
CANARIAS;Berro;2017;Julio;0.94
CANARIAS;Berro;2017;Agosto;1.22
CANARIAS;Berro;2017;Septiembre;1.57
CANARIAS;Berro;2017;Octubre;0.9
CANARIAS;Berro;2017;Noviembre;1.31
CANARIAS;Berro;2017;Diciembre;1.59
CANARIAS;Berro;2018;Enero;1.26
CANARIAS;Berro;2018;Febrero;1.53
CANARIAS;Berro;2018;Marzo;0.89
CANARIAS;Berro;2018;Abril;1.34
CANARIAS;Berro;2018;Mayo;1.32
CANARIAS;Berro;2018;Junio;1.72
CANARIAS;Berro;2018;Julio;0.76
CANARIAS;Berro;2018;Agosto;0.55
CANARIAS;Berro;2018;Septiembre;0.55
CANARIAS;Berro;2018;Octubre;1.21
CANARIAS;Berro;2018;Noviembre;1.3
CANARIAS;Berro;2018;Diciembre;1.36
CANARIAS;Berro;2019;Enero;0.75
CANARIAS;Berro;2019;Febrero;0.63
CANARIAS;Berro;2019;Marzo;0.53
CANARIAS;Berro;2019;Abril;0.59
CANARIAS;Berro;2019;Mayo;0.7
CANARIAS;Berro;2019;Junio;0.54
CANARIAS;Berro;2019;Julio;3.46
CANARIAS;Berro;2019;Agosto;1.24
CANARIAS;Berro;2019;Septiembre;1.44
CANARIAS;Berro;2019;Octubre;1.28
CANARIAS;Berro;2019;Noviembre;1.28
CANARIAS;Bræcoli/Br⁄col;2016;Enero;2.22
CANARIAS;Bræcoli/Br⁄col;2016;Febrero;1.87
CANARIAS;Bræcoli/Br⁄col;2016;Marzo;1.85
CANARIAS;Bræcoli/Br⁄col;2016;Abril;1.95
CANARIAS;Bræcoli/Br⁄col;2016;Mayo;1.84
CANARIAS;Bræcoli/Br⁄col;2016;Junio;1.84
CANARIAS;Bræcoli/Br⁄col;2016;Julio;2.05
CANARIAS;Bræcoli/Br⁄col;2016;Agosto;2.2
CANARIAS;Bræcoli/Br⁄col;2016;Septiembre;1.98
CANARIAS;Bræcoli/Br⁄col;2016;Octubre;1.69
CANARIAS;Bræcoli/Br⁄col;2016;Noviembre;2.03
CANARIAS;Bræcoli/Br⁄col;2016;Diciembre;1.92
CANARIAS;Bræcoli/Br⁄col;2017;Enero;1.58
CANARIAS;Bræcoli/Br⁄col;2017;Febrero;1.96
CANARIAS;Bræcoli/Br⁄col;2017;Marzo;1.86
CANARIAS;Bræcoli/Br⁄col;2017;Abril;1.93
CANARIAS;Bræcoli/Br⁄col;2017;Mayo;1.97
CANARIAS;Bræcoli/Br⁄col;2017;Junio;1.88
CANARIAS;Bræcoli/Br⁄col;2017;Julio;1.79
CANARIAS;Bræcoli/Br⁄col;2017;Agosto;1.85
CANARIAS;Bræcoli/Br⁄col;2017;Septiembre;1.75
CANARIAS;Bræcoli/Br⁄col;2017;Octubre;1.95
CANARIAS;Bræcoli/Br⁄col;2017;Noviembre;2
CANARIAS;Bræcoli/Br⁄col;2017;Diciembre;2.18
CANARIAS;Bræcoli/Br⁄col;2018;Enero;1.56
CANARIAS;Bræcoli/Br⁄col;2018;Febrero;1.71
CANARIAS;Bræcoli/Br⁄col;2018;Marzo;1.57
CANARIAS;Bræcoli/Br⁄col;2018;Abril;1.8
CANARIAS;Bræcoli/Br⁄col;2018;Mayo;1.91
CANARIAS;Bræcoli/Br⁄col;2018;Junio;1.17
CANARIAS;Bræcoli/Br⁄col;2018;Julio;1.45
CANARIAS;Bræcoli/Br⁄col;2018;Agosto;1.59
CANARIAS;Bræcoli/Br⁄col;2018;Septiembre;1.57
CANARIAS;Bræcoli/Br⁄col;2018;Octubre;1.38
CANARIAS;Bræcoli/Br⁄col;2018;Noviembre;1.33
CANARIAS;Bræcoli/Br⁄col;2018;Diciembre;1.35
CANARIAS;Bræcoli/Br⁄col;2019;Enero;1.5
CANARIAS;Bræcoli/Br⁄col;2019;Febrero;1.92
CANARIAS;Bræcoli/Br⁄col;2019;Marzo;1.4
CANARIAS;Bræcoli/Br⁄col;2019;Abril;1.68
CANARIAS;Bræcoli/Br⁄col;2019;Mayo;1.79
CANARIAS;Bræcoli/Br⁄col;2019;Junio;1.86
CANARIAS;Bræcoli/Br⁄col;2019;Julio;1.9
CANARIAS;Bræcoli/Br⁄col;2019;Agosto;1.75
CANARIAS;Bræcoli/Br⁄col;2019;Septiembre;1.35
CANARIAS;Bræcoli/Br⁄col;2019;Octubre;1.7
CANARIAS;Bræcoli/Br⁄col;2019;Noviembre;2.18
CANARIAS;Bubango;2016;Enero;0.78
CANARIAS;Bubango;2016;Febrero;0.87
CANARIAS;Bubango;2016;Marzo;0.97
CANARIAS;Bubango;2016;Abril;0.93
CANARIAS;Bubango;2016;Mayo;0.74
CANARIAS;Bubango;2016;Junio;0.81
CANARIAS;Bubango;2016;Julio;0.87
CANARIAS;Bubango;2016;Agosto;0.88
CANARIAS;Bubango;2016;Septiembre;0.87
CANARIAS;Bubango;2016;Octubre;0.82
CANARIAS;Bubango;2016;Noviembre;0.86
CANARIAS;Bubango;2016;Diciembre;0.83
CANARIAS;Bubango;2017;Enero;0.87
CANARIAS;Bubango;2017;Febrero;0.84
CANARIAS;Bubango;2017;Marzo;0.84
CANARIAS;Bubango;2017;Abril;0.84
CANARIAS;Bubango;2017;Mayo;0.85
CANARIAS;Bubango;2017;Junio;0.83
CANARIAS;Bubango;2017;Julio;0.86
CANARIAS;Bubango;2017;Agosto;0.74
CANARIAS;Bubango;2017;Septiembre;0.87
CANARIAS;Bubango;2017;Octubre;0.9
CANARIAS;Bubango;2017;Noviembre;0.92
CANARIAS;Bubango;2017;Diciembre;0.88
CANARIAS;Bubango;2018;Enero;0.67
CANARIAS;Bubango;2018;Febrero;0.77
CANARIAS;Bubango;2018;Marzo;0.78
CANARIAS;Bubango;2018;Abril;0.83
CANARIAS;Bubango;2018;Mayo;0.82
CANARIAS;Bubango;2018;Junio;0.68
CANARIAS;Bubango;2018;Julio;0.83
CANARIAS;Bubango;2018;Agosto;0.86
CANARIAS;Bubango;2018;Septiembre;0.88
CANARIAS;Bubango;2018;Octubre;0.86
CANARIAS;Bubango;2018;Noviembre;0.83
CANARIAS;Bubango;2018;Diciembre;0.83
CANARIAS;Bubango;2019;Enero;0.82
CANARIAS;Bubango;2019;Febrero;0.75
CANARIAS;Bubango;2019;Marzo;0.84
CANARIAS;Bubango;2019;Abril;0.86
CANARIAS;Bubango;2019;Mayo;0.84
CANARIAS;Bubango;2019;Junio;0.86
CANARIAS;Bubango;2019;Julio;0.82
CANARIAS;Bubango;2019;Agosto;0.87
CANARIAS;Bubango;2019;Septiembre;0.91
CANARIAS;Bubango;2019;Octubre;0.89
CANARIAS;Bubango;2019;Noviembre;0.78
CANARIAS;Calabac›n;2016;Enero;0.63
CANARIAS;Calabac›n;2016;Febrero;0.48
CANARIAS;Calabac›n;2016;Marzo;0.5
CANARIAS;Calabac›n;2016;Abril;0.41
CANARIAS;Calabac›n;2016;Mayo;0.4
CANARIAS;Calabac›n;2016;Junio;0.4
CANARIAS;Calabac›n;2016;Julio;0.45
CANARIAS;Calabac›n;2016;Agosto;0.46
CANARIAS;Calabac›n;2016;Septiembre;0.49
CANARIAS;Calabac›n;2016;Octubre;0.48
CANARIAS;Calabac›n;2016;Noviembre;0.5
CANARIAS;Calabac›n;2016;Diciembre;0.64
CANARIAS;Calabac›n;2017;Enero;1.15
CANARIAS;Calabac›n;2017;Febrero;0.86
CANARIAS;Calabac›n;2017;Marzo;0.57
CANARIAS;Calabac›n;2017;Abril;0.45
CANARIAS;Calabac›n;2017;Mayo;0.55
CANARIAS;Calabac›n;2017;Junio;0.58
CANARIAS;Calabac›n;2017;Julio;0.62
CANARIAS;Calabac›n;2017;Agosto;0.43
CANARIAS;Calabac›n;2017;Septiembre;0.66
CANARIAS;Calabac›n;2017;Octubre;1.01
CANARIAS;Calabac›n;2017;Noviembre;0.82
CANARIAS;Calabac›n;2017;Diciembre;0.8
CANARIAS;Calabac›n;2018;Enero;0.72
CANARIAS;Calabac›n;2018;Febrero;0.72
CANARIAS;Calabac›n;2018;Marzo;0.57
CANARIAS;Calabac›n;2018;Abril;0.51
CANARIAS;Calabac›n;2018;Mayo;0.49
CANARIAS;Calabac›n;2018;Junio;0.39
CANARIAS;Calabac›n;2018;Julio;0.43
CANARIAS;Calabac›n;2018;Agosto;0.64
CANARIAS;Calabac›n;2018;Septiembre;0.6
CANARIAS;Calabac›n;2018;Octubre;0.6
CANARIAS;Calabac›n;2018;Noviembre;0.85
CANARIAS;Calabac›n;2018;Diciembre;0.7
CANARIAS;Calabac›n;2019;Enero;0.78
CANARIAS;Calabac›n;2019;Febrero;0.59
CANARIAS;Calabac›n;2019;Marzo;0.53
CANARIAS;Calabac›n;2019;Abril;0.62
CANARIAS;Calabac›n;2019;Mayo;0.49
CANARIAS;Calabac›n;2019;Junio;0.64
CANARIAS;Calabac›n;2019;Julio;0.75
CANARIAS;Calabac›n;2019;Agosto;0.56
CANARIAS;Calabac›n;2019;Septiembre;0.65
CANARIAS;Calabac›n;2019;Octubre;0.56
CANARIAS;Calabac›n;2019;Noviembre;0.83
CANARIAS;Calabaza;2016;Enero;0.45
CANARIAS;Calabaza;2016;Febrero;0.36
CANARIAS;Calabaza;2016;Marzo;0.32
CANARIAS;Calabaza;2016;Abril;0.48
CANARIAS;Calabaza;2016;Mayo;0.49
CANARIAS;Calabaza;2016;Junio;0.31
CANARIAS;Calabaza;2016;Julio;0.36
CANARIAS;Calabaza;2016;Agosto;0.43
CANARIAS;Calabaza;2016;Septiembre;0.42
CANARIAS;Calabaza;2016;Octubre;0.31
CANARIAS;Calabaza;2016;Noviembre;0.43
CANARIAS;Calabaza;2016;Diciembre;0.39
CANARIAS;Calabaza;2017;Enero;0.46
CANARIAS;Calabaza;2017;Febrero;0.47
CANARIAS;Calabaza;2017;Marzo;0.56
CANARIAS;Calabaza;2017;Abril;0.65
CANARIAS;Calabaza;2017;Mayo;0.69
CANARIAS;Calabaza;2017;Junio;0.37
CANARIAS;Calabaza;2017;Julio;0.41
CANARIAS;Calabaza;2017;Agosto;0.4
CANARIAS;Calabaza;2017;Septiembre;0.35
CANARIAS;Calabaza;2017;Octubre;0.4
CANARIAS;Calabaza;2017;Noviembre;0.35
CANARIAS;Calabaza;2017;Diciembre;0.31
CANARIAS;Calabaza;2018;Enero;0.5
CANARIAS;Calabaza;2018;Febrero;0.52
CANARIAS;Calabaza;2018;Marzo;0.46
CANARIAS;Calabaza;2018;Abril;0.61
CANARIAS;Calabaza;2018;Mayo;0.6
CANARIAS;Calabaza;2018;Junio;0.63
CANARIAS;Calabaza;2018;Julio;0.47
CANARIAS;Calabaza;2018;Agosto;0.43
CANARIAS;Calabaza;2018;Septiembre;0.34
CANARIAS;Calabaza;2018;Octubre;0.32
CANARIAS;Calabaza;2018;Noviembre;0.45
CANARIAS;Calabaza;2018;Diciembre;0.31
CANARIAS;Calabaza;2019;Enero;0.42
CANARIAS;Calabaza;2019;Febrero;0.45
CANARIAS;Calabaza;2019;Marzo;0.65
CANARIAS;Calabaza;2019;Abril;0.53
CANARIAS;Calabaza;2019;Mayo;0.46
CANARIAS;Calabaza;2019;Junio;0.49
CANARIAS;Calabaza;2019;Julio;0.52
CANARIAS;Calabaza;2019;Agosto;0.39
CANARIAS;Calabaza;2019;Septiembre;0.47
CANARIAS;Calabaza;2019;Octubre;0.45
CANARIAS;Calabaza;2019;Noviembre;0.51
CANARIAS;Cebolla;2016;Enero;0.48
CANARIAS;Cebolla;2016;Febrero;0.78
CANARIAS;Cebolla;2016;Marzo;0.51
CANARIAS;Cebolla;2016;Abril;0.6
CANARIAS;Cebolla;2016;Mayo;0.53
CANARIAS;Cebolla;2016;Junio;0.5
CANARIAS;Cebolla;2016;Julio;0.42
CANARIAS;Cebolla;2016;Agosto;0.4
CANARIAS;Cebolla;2016;Septiembre;0.4
CANARIAS;Cebolla;2016;Octubre;0.34
CANARIAS;Cebolla;2016;Noviembre;0.35
CANARIAS;Cebolla;2016;Diciembre;0.42
CANARIAS;Cebolla;2017;Enero;0.49
CANARIAS;Cebolla;2017;Febrero;0.54
CANARIAS;Cebolla;2017;Marzo;0.46
CANARIAS;Cebolla;2017;Abril;0.45
CANARIAS;Cebolla;2017;Mayo;0.38
CANARIAS;Cebolla;2017;Junio;0.45
CANARIAS;Cebolla;2017;Julio;0.46
CANARIAS;Cebolla;2017;Agosto;0.41
CANARIAS;Cebolla;2017;Septiembre;0.4
CANARIAS;Cebolla;2017;Octubre;0.43
CANARIAS;Cebolla;2017;Noviembre;0.66
CANARIAS;Cebolla;2017;Diciembre;0.73
CANARIAS;Cebolla;2018;Enero;0.78
CANARIAS;Cebolla;2018;Febrero;0.89
CANARIAS;Cebolla;2018;Marzo;0.78
CANARIAS;Cebolla;2018;Abril;0.73
CANARIAS;Cebolla;2018;Mayo;0.72
CANARIAS;Cebolla;2018;Junio;0.6
CANARIAS;Cebolla;2018;Julio;0.49
CANARIAS;Cebolla;2018;Agosto;0.44
CANARIAS;Cebolla;2018;Septiembre;0.5
CANARIAS;Cebolla;2018;Octubre;0.66
CANARIAS;Cebolla;2018;Noviembre;0.96
CANARIAS;Cebolla;2018;Diciembre;0.94
CANARIAS;Cebolla;2019;Enero;1.05
CANARIAS;Cebolla;2019;Febrero;0.88
CANARIAS;Cebolla;2019;Marzo;0.8
CANARIAS;Cebolla;2019;Abril;0.7
CANARIAS;Cebolla;2019;Mayo;0.6
CANARIAS;Cebolla;2019;Junio;0.61
CANARIAS;Cebolla;2019;Julio;0.58
CANARIAS;Cebolla;2019;Agosto;0.48
CANARIAS;Cebolla;2019;Septiembre;0.6
CANARIAS;Cebolla;2019;Octubre;0.58
CANARIAS;Cebolla;2019;Noviembre;0.89
CANARIAS;Cebolleta;2016;Enero;1.44
CANARIAS;Cebolleta;2016;Febrero;1.33
CANARIAS;Cebolleta;2016;Marzo;1.04
CANARIAS;Cebolleta;2016;Abril;1.23
CANARIAS;Cebolleta;2016;Mayo;1.72
CANARIAS;Cebolleta;2016;Junio;1.05
CANARIAS;Cebolleta;2016;Julio;0.87
CANARIAS;Cebolleta;2016;Agosto;2.5
CANARIAS;Cebolleta;2016;Septiembre;....
CANARIAS;Cebolleta;2016;Octubre;....
CANARIAS;Cebolleta;2016;Noviembre;....
CANARIAS;Cebolleta;2016;Diciembre;1.61
CANARIAS;Cebolleta;2017;Enero;1.41
CANARIAS;Cebolleta;2017;Febrero;1.17
CANARIAS;Cebolleta;2017;Marzo;1.15
CANARIAS;Cebolleta;2017;Abril;1.03
CANARIAS;Cebolleta;2017;Mayo;0.98
CANARIAS;Cebolleta;2017;Junio;1.08
CANARIAS;Cebolleta;2017;Julio;...
CANARIAS;Cebolleta;2017;Agosto;...
CANARIAS;Cebolleta;2017;Septiembre;...
CANARIAS;Cebolleta;2017;Octubre;...
CANARIAS;Cebolleta;2017;Noviembre;...
CANARIAS;Cebolleta;2017;Diciembre;...
CANARIAS;Cebolleta;2018;Enero;1.43
CANARIAS;Cebolleta;2018;Febrero;1.36
CANARIAS;Cebolleta;2018;Marzo;1.29
CANARIAS;Cebolleta;2018;Abril;1.16
CANARIAS;Cebolleta;2018;Mayo;1.08
CANARIAS;Cebolleta;2018;Junio;1.14
CANARIAS;Cebolleta;2018;Julio;1.68
CANARIAS;Cebolleta;2018;Agosto;2.35
CANARIAS;Cebolleta;2018;Septiembre;2.21
CANARIAS;Cebolleta;2018;Octubre;1.93
CANARIAS;Cebolleta;2018;Noviembre;1.31
CANARIAS;Cebolleta;2018;Diciembre;1.09
CANARIAS;Cebolleta;2019;Enero;1.3
CANARIAS;Cebolleta;2019;Febrero;1.38
CANARIAS;Cebolleta;2019;Marzo;1.69
CANARIAS;Cebolleta;2019;Abril;1.66
CANARIAS;Cebolleta;2019;Mayo;1.46
CANARIAS;Cebolleta;2019;Junio;1.54
CANARIAS;Cebolleta;2019;Julio;1.31
CANARIAS;Cebolleta;2019;Agosto;1.83
CANARIAS;Cebolleta;2019;Septiembre;1.03
CANARIAS;Cebolleta;2019;Octubre;2
CANARIAS;Cebolleta;2019;Noviembre;1.68
CANARIAS;Col;2016;Enero;0.46
CANARIAS;Col;2016;Febrero;0.3
CANARIAS;Col;2016;Marzo;0.25
CANARIAS;Col;2016;Abril;0.3
CANARIAS;Col;2016;Mayo;0.25
CANARIAS;Col;2016;Junio;0.25
CANARIAS;Col;2016;Julio;0.38
CANARIAS;Col;2016;Agosto;0.45
CANARIAS;Col;2016;Septiembre;0.42
CANARIAS;Col;2016;Octubre;0.47
CANARIAS;Col;2016;Noviembre;0.44
CANARIAS;Col;2016;Diciembre;0.39
CANARIAS;Col;2017;Enero;0.39
CANARIAS;Col;2017;Febrero;0.41
CANARIAS;Col;2017;Marzo;0.31
CANARIAS;Col;2017;Abril;0.3
CANARIAS;Col;2017;Mayo;0.3
CANARIAS;Col;2017;Junio;0.34
CANARIAS;Col;2017;Julio;0.47
CANARIAS;Col;2017;Agosto;0.51
CANARIAS;Col;2017;Septiembre;0.34
CANARIAS;Col;2017;Octubre;0.31
CANARIAS;Col;2017;Noviembre;0.36
CANARIAS;Col;2017;Diciembre;0.33
CANARIAS;Col;2018;Enero;0.41
CANARIAS;Col;2018;Febrero;0.5
CANARIAS;Col;2018;Marzo;0.48
CANARIAS;Col;2018;Abril;0.35
CANARIAS;Col;2018;Mayo;0.33
CANARIAS;Col;2018;Junio;0.28
CANARIAS;Col;2018;Julio;0.43
CANARIAS;Col;2018;Agosto;0.45
CANARIAS;Col;2018;Septiembre;0.36
CANARIAS;Col;2018;Octubre;0.37
CANARIAS;Col;2018;Noviembre;0.36
CANARIAS;Col;2018;Diciembre;0.42
CANARIAS;Col;2019;Enero;0.54
CANARIAS;Col;2019;Febrero;0.52
CANARIAS;Col;2019;Marzo;0.52
CANARIAS;Col;2019;Abril;0.4
CANARIAS;Col;2019;Mayo;0.3
CANARIAS;Col;2019;Junio;0.34
CANARIAS;Col;2019;Julio;0.29
CANARIAS;Col;2019;Agosto;0.31
CANARIAS;Col;2019;Septiembre;0.34
CANARIAS;Col;2019;Octubre;0.33
CANARIAS;Col;2019;Noviembre;0.43
CANARIAS;Coliflor;2016;Enero;0.98
CANARIAS;Coliflor;2016;Febrero;0.65
CANARIAS;Coliflor;2016;Marzo;0.82
CANARIAS;Coliflor;2016;Abril;0.77
CANARIAS;Coliflor;2016;Mayo;0.84
CANARIAS;Coliflor;2016;Junio;0.66
CANARIAS;Coliflor;2016;Julio;0.98
CANARIAS;Coliflor;2016;Agosto;0.9
CANARIAS;Coliflor;2016;Septiembre;0.85
CANARIAS;Coliflor;2016;Octubre;0.8
CANARIAS;Coliflor;2016;Noviembre;0.84
CANARIAS;Coliflor;2016;Diciembre;0.86
CANARIAS;Coliflor;2017;Enero;0.7
CANARIAS;Coliflor;2017;Febrero;0.9
CANARIAS;Coliflor;2017;Marzo;0.87
CANARIAS;Coliflor;2017;Abril;0.63
CANARIAS;Coliflor;2017;Mayo;0.79
CANARIAS;Coliflor;2017;Junio;0.94
CANARIAS;Coliflor;2017;Julio;1.06
CANARIAS;Coliflor;2017;Agosto;1.05
CANARIAS;Coliflor;2017;Septiembre;0.92
CANARIAS;Coliflor;2017;Octubre;0.97
CANARIAS;Coliflor;2017;Noviembre;0.91
CANARIAS;Coliflor;2017;Diciembre;0.81
CANARIAS;Coliflor;2018;Enero;0.72
CANARIAS;Coliflor;2018;Febrero;0.87
CANARIAS;Coliflor;2018;Marzo;0.86
CANARIAS;Coliflor;2018;Abril;1.22
CANARIAS;Coliflor;2018;Mayo;1.05
CANARIAS;Coliflor;2018;Junio;0.68
CANARIAS;Coliflor;2018;Julio;1
